borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
Bronx,Bathgate,01 One Family Dwellings,1,3030,62,A1,4463 Park Avenue,NA,10457,1,0,1,1578,1470,1899,1,A1,455000,2018-11-28T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3030,70,A1,4445 Park Avenue,NA,10457,1,0,1,1694,1497,1899,1,A1,388500,2019-07-23T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3039,63,A1,469 E 185th St,NA,10458,1,0,1,1650,1296,1910,1,A1,419000,2018-12-20T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3043,55,A1,1948 Bathgate Avenue,NA,10457,1,0,1,2356,2047,1901,1,A1,470000,2019-03-08T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3046,35,A1,2083 Bathgate Avenue,NA,10457,1,0,1,2050,1560,1899,1,A1,445000,2018-12-17T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3046,39,A1,2075 Bathgate Avenue,NA,10457,1,0,1,1986,1344,1899,1,A1,420000,2019-05-24T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3053,62,S1,2308 Washington Avenue,NA,10458,1,1,2,785,1540,1931,1,S1,350000,2018-11-06T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2912,152,B1,517 East 171 Street,NA,10457,2,0,2,2000,2400,1993,1,B1,630000,2019-08-20T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2927,119,B1,1497 Crotona Place,NA,10456,2,0,2,1900,2394,1994,1,B1,535000,2019-05-08T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2929,119,B1,3864 3rd Avenue,NA,10457,2,0,2,2432,2394,1995,1,B1,679000,2018-11-27T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2929,128,B1,559 Claremont Parkway,NA,10457,2,0,2,2361,2394,1995,1,B1,514216,2019-02-25T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3030,61,B3,4467 Park Avenue,NA,10457,2,0,2,1556,1494,1899,1,B3,310000,2019-04-24T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3036,140,B1,2063 Washington Avenue,NA,10457,2,0,2,3346,2308,1997,1,B1,640000,2019-02-07T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3039,159,B1,476 East 186 Street,NA,10458,2,0,2,2033,2400,1997,1,B1,640000,2019-04-24T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3045,110,B1,2044 Bathgate Ave,NA,10457,2,0,2,2785,2565,1998,1,B1,610000,2019-06-28T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3046,29,B3,2094 Washington Ave,NA,10457,2,0,2,2182,2588,1901,1,B3,450000,2019-01-31T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3050,39,B2,2249 Bassford Avenue,NA,10457,2,0,2,899,1716,1901,1,B2,500000,2019-09-19T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3050,40,B2,493 Fletcher Place,NA,10457,2,0,2,1637,1972,1901,1,B2,410000,2019-02-18T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3050,64,B2,506 East 183 Street,NA,10458,2,0,2,1316,2112,1901,1,B2,477134,2019-08-01T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3050,90,B2,505 East 182 Street,NA,10457,2,0,2,1960,2278,1901,1,B2,360000,2019-08-19T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3050,96,B2,2244 Bassford Avenue,NA,10457,2,0,2,1450,3549,1901,1,B2,489000,2018-11-29T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3053,4,B1,507 East 183 Street,NA,10458,2,0,2,1380,2805,1901,1,B1,440000,2019-10-24T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3053,5,B9,509 East 183rd Street,NA,10458,2,0,2,1420,2805,1901,1,B9,649500,2019-08-23T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3053,7,B2,2306 Bassford Avenue,NA,10458,2,0,2,2085,3374,1901,1,B2,370000,2019-04-24T00:00:00Z
Bronx,Bathgate,03 Three Family Dwellings,1,2918,5,C0,1872 Washington Ave,NA,10457,3,0,3,1963,2970,1910,1,C0,495000,2019-04-17T00:00:00Z
